iter	Passed	Remaining
915	4340	398
916	4347	393
917	4353	388
918	4360	384
919	4369	379
920	4375	375
921	4380	370
922	4384	365
923	4388	360
924	4392	356
925	4397	351
926	4402	346
927	4406	341
928	4410	337
929	4415	332
930	4419	327
931	4423	322
932	4427	317
933	4431	313
934	4435	308
935	4439	303
936	4443	298
937	4448	294
938	4452	289
939	4456	284
940	4459	279
941	4464	274
942	4468	270
943	4472	265
944	4476	260
945	4480	255
946	4486	251
947	4492	246
948	4498	241
949	4501	236
950	4505	232
951	4510	227
952	4514	222
953	4517	217
954	4521	213
955	4525	208
956	4530	203
957	4533	198
958	4537	193
959	4541	189
960	4545	184
961	4549	179
962	4553	174
963	4557	170
964	4562	165
965	4566	160
966	4570	155
967	4573	151
968	4579	146
969	4583	141
970	4587	136
971	4591	132
972	4595	127
973	4599	122
974	4603	118
975	4607	113
976	4611	108
977	4615	103
978	4619	99
979	4624	94
980	4628	89
981	4632	84
982	4636	80
983	4642	75
984	4647	70
985	4652	66
986	4658	61
987	4662	56
988	4666	51
989	4670	47
990	4675	42
991	4679	37
992	4683	33
993	4687	28
994	4692	23
995	4695	18
996	4700	14
997	4703	9
998	4708	4
999	4712	0
